sqft,bedrooms,bathrooms,location,age,garage,pool,basement,price
2744,2,4.2947551932027626,Historic,24,2,0,1,517690
1345,1,3.663621046660352,Suburbs,78,1,1,1,314080
3683,1,2.8362451768426014,Historic,58,3,0,0,559390
2797,2,1.0181605439143642,Suburbs,74,2,0,1,431624
2186,5,3.5957137746857275,Suburbs,10,2,1,1,558608
1753,3,1.2312805396868522,Waterfront,81,3,0,1,520404
3170,5,2.8738884979038013,Hillside,20,3,0,0,579643
3613,1,4.253664506561829,Waterfront,44,0,0,1,607421
4749,1,4.610770133235418,Suburbs,43,3,0,0,639954
2636,5,4.553540840089611,Waterfront,82,3,0,1,652928
1474,1,4.396166500059249,Suburbs,27,0,0,0,339028
4297,1,3.677620763599794,Historic,24,1,0,0,584305
3445,3,1.7257696347154339,Suburbs,33,3,0,0,556130
3741,5,4.566937795319387,Waterfront,36,0,0,0,707356
1208,4,4.758422237184754,Suburbs,18,1,0,0,368121
2111,1,4.9834170759929375,Suburbs,17,2,0,0,410623
4024,5,3.419272387900805,Hillside,23,2,1,0,706733
4295,5,1.514583051885531,Suburbs,46,3,0,0,641357
2627,5,3.0124698779412133,Downtown,34,0,0,1,538103
4180,5,2.7960285563103784,Suburbs,39,1,1,1,663432
4335,2,4.520230067045993,Waterfront,71,3,0,1,714368
2427,5,2.407961430360565,Downtown,24,2,0,0,552994
4571,2,2.094071963089396,Suburbs,90,0,1,0,549925
2010,5,1.8896564216753973,Downtown,75,1,0,1,459825
1806,3,4.395007240040556,Waterfront,17,1,0,0,527364
3666,4,4.682581598209221,Historic,31,2,0,0,626022
3474,4,1.1493741563681508,Hillside,18,1,0,1,572597
1386,4,2.9615496295410324,Suburbs,27,2,0,1,392213
4297,4,2.178441761821831,Hillside,36,1,1,0,650579
1639,4,2.1995419928994906,Suburbs,13,2,0,1,454444
4180,4,4.858982860557714,Historic,1,0,1,0,701521
830,1,1.9125827441419312,Waterfront,43,2,1,1,406370
4146,5,2.212147407523301,Historic,70,3,0,0,637944
4105,3,1.469800888174828,Historic,30,0,1,0,583749
4077,2,1.7334949045628298,Waterfront,86,1,1,1,647722
3592,3,4.878365733810802,Suburbs,36,2,1,0,632729
2780,5,4.379052695037306,Waterfront,90,2,0,1,625705
3761,5,1.517019486849429,Hillside,23,2,0,0,584339
1963,5,3.741716410519735,Hillside,53,2,0,1,481820
4079,3,1.7311359766527954,Hillside,76,2,0,1,583304
3133,4,1.7829601300260849,Downtown,5,2,0,0,567414
2727,2,2.5699338186415264,Waterfront,93,0,0,1,524915
2923,4,1.1046150968047752,Downtown,36,3,0,0,552866
3188,4,2.90397329087804,Historic,49,1,1,0,586879
956,2,4.865572539321028,Hillside,62,0,0,0,356934
1387,2,3.798097435818333,Downtown,64,1,0,1,420848
1831,1,3.0998624771607295,Historic,2,1,0,1,398293
1281,1,2.2043973670814294,Hillside,86,0,0,1,279475
2646,3,1.743600365107652,Hillside,62,3,0,1,480318
3607,3,1.0231400945819464,Suburbs,99,0,0,1,480383
3548,1,2.97922463370728,Downtown,47,1,0,0,512261
2778,3,1.3771446803556806,Hillside,61,1,0,1,458563
4391,4,4.7193125336908235,Hillside,44,3,0,0,670579
3173,2,4.887571088488043,Waterfront,88,2,0,0,579716
1132,2,4.3946298881500825,Hillside,83,3,0,0,348663
4012,2,3.3191324885996663,Downtown,90,0,0,0,589316
3213,3,3.608741128898247,Historic,50,3,0,0,560155
3465,2,3.580989373748051,Downtown,79,3,0,0,610851
3174,4,2.4091399776247973,Hillside,35,1,0,0,535967
3125,2,3.6017747558677087,Historic,46,2,1,0,540225
1180,3,4.935381369566494,Hillside,76,0,1,1,400513
3148,2,4.467640256626597,Waterfront,8,3,1,1,679984
4138,1,3.1967421807506313,Downtown,71,3,0,0,602196
2076,4,1.3772059828830039,Downtown,1,1,0,0,517772
3331,2,3.3941069825931187,Suburbs,58,2,0,0,491485
929,2,2.1311086930262197,Historic,47,1,1,0,354967
2259,4,3.162871500554555,Downtown,46,0,1,1,529318
2634,5,3.6845620733936775,Hillside,49,2,1,0,525066
4927,4,4.339477754208903,Suburbs,49,2,1,1,750166
1701,5,2.9548983918558074,Waterfront,40,3,0,1,580755
1961,5,4.243596745358607,Suburbs,45,3,1,0,495890
2515,3,4.098924505104822,Waterfront,56,1,1,1,594505
4969,4,2.753504563000258,Waterfront,76,3,0,0,726315
4384,2,2.88103605191787,Downtown,55,2,1,1,641259
945,3,3.2781133568714877,Waterfront,64,2,0,1,458732
1782,3,4.202088101645478,Historic,83,2,1,1,454762
4251,5,3.1857661348710873,Hillside,98,3,1,1,656690
1044,5,4.522012301366512,Suburbs,10,2,0,1,445939
4393,3,2.4684166412467707,Hillside,71,0,0,1,587518
1981,4,3.2594398398545343,Hillside,22,0,0,0,436955
4654,2,2.0451731169894263,Hillside,19,1,1,1,668284
2033,5,4.481491340326281,Suburbs,79,2,1,1,487127
2624,3,2.959332347635608,Hillside,6,2,0,0,483202
3580,3,3.6525192007526632,Waterfront,84,1,1,1,662269
1330,4,1.4955065566286185,Downtown,77,2,0,0,409720
3139,4,4.1106920740296164,Suburbs,99,3,0,0,558043
2921,1,2.2524362905495874,Historic,66,1,0,0,431165
4092,2,2.2947739495745427,Downtown,87,1,0,0,587029
4983,1,3.7648035526072343,Waterfront,11,2,0,1,738929
3590,4,2.8767107972646193,Historic,88,1,0,0,592874
2518,1,4.9016418535664386,Downtown,16,3,0,0,494289
2506,2,3.984568608250754,Waterfront,31,3,0,0,591318
2555,3,3.9823666831045323,Suburbs,12,2,1,0,510005
4218,4,1.9529991327679814,Waterfront,40,1,0,1,741999
2149,3,1.0718221405028845,Suburbs,74,2,1,1,442823
1501,5,2.137793535927805,Hillside,26,0,0,0,388826
2204,5,4.304466526476033,Downtown,82,1,0,0,499442
895,1,4.552898254064462,Hillside,60,0,0,0,315517
1245,5,3.0969778887054793,Historic,62,0,0,1,431107
1178,4,3.8457969578021425,Hillside,93,0,0,0,354012
4040,4,2.616756179077309,Hillside,43,2,0,0,611844
3833,1,1.542364402302205,Downtown,34,0,0,0,547942
3726,4,1.1653113233672912,Hillside,99,2,0,0,538695
2739,4,2.2532554744001976,Waterfront,55,1,0,0,539548
3811,3,2.1603120249822583,Hillside,61,1,0,0,530525
1477,1,1.8519331577947986,Hillside,29,3,1,1,396141
4582,3,2.584227860061218,Waterfront,21,2,0,1,764133
2904,5,1.7351294275196334,Suburbs,16,2,1,0,587666
4739,4,3.2960328629100255,Downtown,22,2,1,1,773151
1439,1,4.371252637088277,Downtown,19,0,1,1,436934
2888,5,3.4048549644265336,Suburbs,74,0,1,0,545089
3724,5,2.760014971744035,Hillside,5,2,0,0,613485
2881,1,2.772352987674568,Waterfront,62,3,0,0,538000
2673,5,2.206813527514032,Waterfront,94,0,0,1,548459
1498,3,1.9415388567380991,Suburbs,76,0,1,0,330988
2400,3,3.1206553374436865,Waterfront,40,3,0,1,580480
1802,3,3.8961220824236302,Historic,5,3,0,0,473812
2066,4,1.1003956456498094,Hillside,83,0,1,0,429038
3671,5,2.264539811151311,Historic,0,1,0,1,643570
3447,4,2.846478536067957,Historic,68,2,0,0,569310
3350,5,1.1794920723460876,Hillside,67,0,1,1,573324
2319,5,3.41356793130997,Waterfront,19,1,0,1,601369
4830,1,3.4498592999441264,Hillside,73,1,0,1,624905
1168,2,3.2452589730232098,Suburbs,17,2,1,0,364095
2238,4,3.7102452013359866,Downtown,22,1,0,1,536087
1295,3,4.851334649402204,Waterfront,81,1,0,0,469238
2223,1,4.874575139855572,Downtown,97,1,0,0,419064
4839,1,3.3393221457365607,Downtown,26,3,0,1,690246
2338,3,4.530850394287814,Hillside,92,0,0,1,441530
4616,4,2.2484064038656513,Historic,91,0,1,0,631975
2879,1,4.244796501550145,Suburbs,76,0,1,0,438493
3738,1,4.161254062851924,Hillside,14,3,0,1,614774
2721,1,3.940019010807515,Downtown,29,3,0,1,548593
1916,3,4.88798882860558,Suburbs,67,2,0,0,443848
4009,1,3.7773587133276925,Historic,99,0,1,1,607324
4870,3,3.517661521287729,Suburbs,81,3,0,0,648080
1906,3,2.490607915511872,Historic,42,1,0,0,479474
4070,3,4.529745666182498,Hillside,23,3,0,1,652495
1896,4,3.536568013577089,Downtown,96,1,1,1,491832
3810,3,4.4345630846976904,Downtown,27,3,0,0,639862
4113,4,2.1317548328920672,Hillside,34,3,1,0,656462
2687,4,4.125663852868536,Waterfront,96,0,0,0,575557
3895,5,1.9522497158456833,Waterfront,56,2,1,1,720605
1943,4,1.4820307595863507,Waterfront,26,1,0,0,540204
1132,3,3.953205524905189,Waterfront,0,1,0,0,474641
1204,3,3.16357687771011,Historic,42,1,1,1,418183
2677,2,4.554416552039934,Waterfront,98,2,1,0,550296
4590,3,2.2077172533515395,Downtown,43,1,0,0,657185
1335,1,3.2531846061266014,Historic,69,2,0,0,338417
2714,5,3.030054578761179,Historic,25,2,0,1,552906
3756,5,4.118953310740212,Downtown,77,3,0,0,638234
1649,1,3.9168484076291956,Suburbs,77,3,0,0,415607
3830,4,2.3215329914823317,Historic,60,0,1,0,590953
2085,1,4.608129211914592,Historic,77,3,0,1,413282
4196,4,1.4650141319892729,Downtown,57,0,1,1,635190
3232,1,4.400451245245279,Downtown,37,2,0,0,545035
3097,3,1.5318860913460681,Waterfront,73,1,0,0,565171
1542,4,2.1872389446153413,Waterfront,83,2,0,1,490764
2745,4,4.988603898519576,Hillside,84,2,0,0,535961
4397,3,3.818307868703863,Waterfront,21,3,0,0,725637
882,5,4.741614632731515,Hillside,67,1,0,0,394993
3985,4,3.4687592970139525,Suburbs,0,3,1,0,648310
2869,2,3.152877122126336,Waterfront,57,1,1,0,560920
3821,4,2.920665858273568,Downtown,57,0,1,0,607635
3585,4,1.3413870673817276,Waterfront,36,1,0,0,605153
2614,2,1.0501066896969338,Downtown,99,2,0,0,456655
2096,4,2.342403676810629,Waterfront,88,2,0,1,537588
3434,5,1.7944570304958845,Suburbs,3,3,0,0,609670
1388,5,3.6227087449882083,Downtown,20,0,0,0,456166
3253,4,4.7508385847448595,Downtown,20,1,0,1,642038
1197,4,4.7936353838623775,Waterfront,89,3,0,0,447938
3529,2,2.2119546110805426,Hillside,51,1,0,1,542261
3440,4,4.92378331609318,Downtown,72,0,0,0,596599
1154,2,4.437989602920372,Waterfront,80,3,0,1,466432
3981,3,4.6390136492641645,Suburbs,76,1,0,0,587665
2546,2,2.002308772586742,Hillside,8,3,0,0,449973
4104,2,2.993368498411178,Waterfront,14,3,0,0,656259
974,1,4.280896385964155,Hillside,39,3,0,0,328392
1553,5,1.0620631065401551,Suburbs,33,2,0,0,414969
2874,1,2.458262041536514,Downtown,74,3,1,1,533595
1590,1,1.1290300571820417,Waterfront,15,3,0,1,424276
2185,5,4.152326710157576,Historic,37,1,0,0,488962
3574,3,3.6322828130302103,Hillside,23,0,1,1,584439
1407,3,1.3929273915702334,Hillside,18,1,0,1,372307
3646,4,1.921852450154995,Hillside,17,2,1,1,594766
1234,2,3.31915649460807,Historic,19,2,1,1,390566
1535,1,3.726180128383901,Suburbs,56,0,0,1,329255
3268,4,4.461099430154908,Waterfront,41,2,0,0,659581
4132,1,2.659951301129279,Downtown,43,0,0,1,560347
1516,3,4.599695356715991,Waterfront,47,2,1,1,534459
2059,5,2.4727839727589984,Suburbs,74,2,0,0,465982
4685,5,4.950061094624437,Downtown,86,2,0,0,700015
4956,2,1.3427136427549557,Suburbs,52,1,0,0,596491
3240,4,1.1772355012492726,Waterfront,64,1,0,1,620353
2677,4,1.6780940608798283,Suburbs,73,2,1,0,479466
2256,3,2.8460075613079088,Hillside,69,2,0,1,442196
3372,1,4.040253739939923,Waterfront,13,3,1,1,687133
3281,2,1.4496326884226804,Hillside,98,1,1,1,489100
2037,4,2.8924876896873264,Historic,16,1,0,0,490437
895,5,1.7496186189228675,Downtown,41,1,0,1,410923
1436,1,4.991807716497628,Suburbs,65,2,1,1,390400
4825,4,3.5314138115972438,Historic,40,0,1,0,713565
2556,5,4.659995718801151,Waterfront,24,1,1,1,668788
2825,5,3.302480281137928,Suburbs,92,0,0,0,509954
2761,3,3.947535599665992,Waterfront,7,2,0,1,610626
4087,1,4.366335488556536,Hillside,24,3,0,0,601279
1072,2,1.7385107126866286,Suburbs,99,3,1,0,316107
1147,5,4.403140204119082,Downtown,72,1,0,0,445890
1958,5,3.561818930062999,Suburbs,8,0,0,0,445563
2843,4,3.719782535021546,Hillside,75,0,0,0,516076
3618,1,2.508934151751354,Historic,96,0,0,1,503400
2860,1,4.907086326909509,Hillside,9,3,1,0,516567
2652,3,2.4193009879278105,Hillside,41,3,0,0,512114
4738,3,1.6470717981433252,Downtown,46,2,0,1,720427
1476,1,4.342362433300054,Suburbs,13,0,1,1,416752
3201,4,1.4081566682310132,Downtown,20,0,1,0,600742
3077,3,1.4400501082335524,Downtown,17,3,0,1,565968
2788,1,3.125807018312285,Hillside,18,1,0,0,427697
4191,1,1.0917236790590068,Hillside,40,0,1,1,524773
1921,3,4.667489923146758,Downtown,46,0,1,0,490793
4805,4,2.655517738343052,Historic,23,1,0,1,685893
2192,5,1.6629097142100953,Waterfront,28,2,0,1,553012
3089,3,4.019766445342691,Downtown,19,3,0,1,601661
2986,2,3.32654684267178,Hillside,79,1,0,0,481589
4369,5,2.197809847259197,Hillside,21,2,1,1,672931
2643,3,3.7781514225440125,Waterfront,90,0,0,0,524134
1995,2,3.86063040139613,Historic,53,0,0,1,456206
890,3,1.2466803772261472,Suburbs,80,0,1,1,288394
2327,1,4.667849158847987,Historic,63,3,1,1,512072
4270,2,2.1293628034582746,Waterfront,26,2,1,0,685845
841,3,3.2751525256017135,Hillside,60,3,0,0,357323
4563,5,4.1386544962334195,Downtown,27,0,0,0,735566
3079,4,3.283520766599229,Downtown,11,0,0,0,584898
1389,4,3.674736547349278,Hillside,25,3,0,0,451924
2069,3,2.9103269101852525,Suburbs,27,0,0,0,392643
3126,1,1.202522407924186,Suburbs,13,0,0,1,478891
2125,2,2.542079034950719,Historic,2,2,0,0,430077
1256,5,4.701391101243432,Downtown,94,2,1,0,474191
3597,1,3.952922468485566,Waterfront,51,0,1,0,621718
3623,5,2.6100604828871736,Suburbs,40,1,0,1,603693
1299,4,4.255106931027381,Downtown,92,2,0,1,443485
1981,2,4.625478156913936,Hillside,22,1,0,0,419985
1824,4,4.320491161678016,Downtown,40,1,0,0,453730
3569,5,2.9761283906917075,Downtown,84,0,0,0,605608
3867,1,3.399676135163637,Historic,63,1,0,0,542571
3853,1,3.685427720761014,Hillside,39,3,1,0,612008
4742,4,2.0232275823467587,Downtown,25,2,0,0,696313
4028,5,2.4000614461347554,Historic,3,3,1,1,678637
2146,1,1.8751076133225117,Waterfront,8,0,0,0,485129
1252,4,2.610227444433246,Hillside,16,0,0,1,388905
3381,1,3.4439428863959765,Downtown,78,2,0,0,529979
4647,4,4.935937499435726,Hillside,63,0,0,1,666349
4895,4,4.853984376147229,Historic,43,2,0,1,770795
1766,1,1.3222156738229383,Hillside,78,3,1,1,364581
1793,4,3.5445484020413396,Suburbs,16,1,0,0,431859
957,5,1.4898242560924628,Hillside,21,2,0,0,380556
1393,5,3.6322025001148623,Historic,39,2,0,1,439579
3130,1,2.3341112669587556,Downtown,91,0,0,1,481522
3096,2,2.2442050007658882,Hillside,61,3,0,0,523081
2357,2,3.9126718352555363,Historic,85,0,0,0,414940
2101,3,2.923874499498506,Suburbs,24,3,1,0,482840
4285,1,4.843322885761979,Waterfront,84,2,0,1,623461
2732,5,3.978204430764561,Suburbs,7,0,0,1,548954
4194,4,4.744991525779689,Waterfront,22,2,0,1,754434
4845,5,3.7646672285619998,Hillside,52,0,1,1,711700
2131,1,2.7625900919626405,Hillside,5,2,0,0,441047
1651,1,4.480607630942306,Suburbs,85,3,0,0,360264
4802,5,2.456452194514272,Hillside,86,3,0,0,674457
3466,2,3.240226276149003,Waterfront,54,3,0,1,626339
2021,4,1.6448191943592905,Historic,30,1,0,0,403015
3411,5,1.2893201361023345,Historic,9,2,1,0,590080
2963,1,3.2578084097023545,Waterfront,61,1,0,0,554628
4603,1,1.5859613740960548,Waterfront,53,3,1,0,648330
1875,1,4.4099823882250435,Waterfront,75,1,0,0,443323
4963,1,4.218856608794632,Hillside,60,3,1,0,667328
4731,1,3.8160560167528312,Suburbs,12,1,1,0,679593
1558,5,3.860569919294376,Suburbs,12,2,0,1,486920
1491,4,3.167699519677781,Suburbs,78,0,0,0,356652
3039,5,1.0075070328,Downtown,15,2,0,0,596822
988,5,2.3361299685293737,Suburbs,93,0,1,0,337771
2054,5,2.7975108356807525,Downtown,10,0,0,1,536464
2627,2,4.839173866234324,Downtown,72,1,0,0,469570
4871,2,1.1383290701160491,Historic,97,1,0,1,624720
4967,5,2.774335901183051,Downtown,44,2,1,1,768852
1436,2,2.1157041673094295,Waterfront,5,1,0,1,438545
4545,1,1.3900625901565293,Historic,87,0,0,0,536608
1181,4,1.9986095150119159,Historic,18,1,1,1,431006
3944,5,2.1925908232309097,Waterfront,52,1,0,0,672513
4351,5,1.1539635825776264,Downtown,98,2,1,0,672468
4541,5,1.4228003325467935,Hillside,74,2,0,0,625962
1738,1,2.6196685259698613,Hillside,4,0,0,0,378742
4552,4,1.9329007824132534,Historic,82,2,1,0,665997
1287,5,3.9808211455330342,Downtown,16,2,0,0,473453
2979,4,1.0696406365913946,Downtown,74,3,0,0,518536
2772,5,2.1379975173479053,Suburbs,62,2,0,0,505860
2126,5,2.790737973895994,Downtown,28,3,0,0,538946
892,3,4.270632152270861,Hillside,42,0,0,1,400655
4042,1,3.8848490595063607,Suburbs,11,2,0,0,594921
2209,3,4.6634532572290865,Suburbs,98,0,0,1,452191
3578,2,2.111844802380677,Hillside,23,0,0,0,578187
2522,1,2.832529284924007,Hillside,30,3,0,0,459567
2369,1,2.176356380008076,Suburbs,50,1,0,0,396858
4522,4,4.423495394679653,Suburbs,67,2,0,0,668692
1196,3,4.55218492855933,Waterfront,50,2,0,0,448783
3893,3,4.500766149080278,Historic,50,2,1,0,630073
3936,4,4.68616291561515,Hillside,58,0,0,0,596049
2395,3,3.6526867348692553,Hillside,85,0,0,0,446842
1902,4,3.992042005528055,Hillside,39,0,0,0,439057
822,1,4.999421909224187,Downtown,83,3,1,0,377015
4734,5,2.516459402635641,Suburbs,78,0,0,0,659215
4780,3,2.095199086960864,Waterfront,96,2,0,0,713091
1812,1,4.727843298968718,Downtown,91,1,0,0,397143
934,5,2.976664078216589,Suburbs,79,0,0,0,326470
1315,4,1.3183263876290203,Downtown,24,1,1,0,450680
1084,1,3.461208885837574,Hillside,77,0,1,0,330615
4290,1,2.424776924815456,Downtown,73,0,0,1,545946
4546,1,4.051419154556929,Downtown,28,0,1,0,649188
1443,2,4.672264431223445,Downtown,67,3,0,0,425334
3936,1,2.353337695068468,Downtown,25,2,0,0,593256
1552,4,3.787463874631502,Waterfront,52,3,1,1,573173
2342,3,4.832120075281986,Suburbs,79,1,0,1,471019
3317,5,3.8212307865978454,Hillside,18,0,0,1,610383
3823,4,1.4166659980398801,Suburbs,33,2,0,1,586872
4473,4,3.3215456822408997,Waterfront,79,3,1,0,739686
988,3,3.7488207796670547,Historic,45,2,0,1,382547
1625,1,3.801389433842723,Historic,96,0,0,0,339400
1978,1,1.4912574463913661,Historic,0,1,0,1,404915
2103,4,2.893031019536303,Suburbs,72,3,0,0,407924
4991,1,4.143908696078558,Waterfront,81,2,0,0,702988
4065,1,1.8790687796589602,Hillside,91,3,1,1,569010
2145,2,2.0960952329718814,Hillside,15,2,1,0,444914
4881,5,2.153525522054614,Historic,98,0,1,1,688846
2897,3,1.5338400132739602,Historic,39,3,1,0,540027
2903,4,1.067518480187415,Hillside,35,3,0,1,504173
2621,3,2.05280710140011,Historic,35,2,0,1,465411
1404,1,4.0005187441657055,Hillside,63,3,0,0,353864
4724,2,1.4363166596942631,Downtown,65,0,0,1,637247
858,1,2.77462388129223,Suburbs,47,3,1,0,355510
1531,4,1.0348383502799157,Downtown,7,0,0,1,445145
1764,1,3.6522576064658554,Downtown,98,3,1,0,392538
1973,2,2.8231273174161866,Waterfront,22,0,0,0,474539
1353,5,4.168000848577871,Suburbs,9,2,0,1,466392
875,3,3.1468637348214044,Waterfront,59,3,0,0,431254
3646,3,4.860800973620536,Waterfront,41,0,0,0,664878
4871,3,3.823124609950095,Historic,61,0,0,0,638185
1311,4,2.5389417662641867,Hillside,87,3,0,1,395762
2045,2,4.81919987929398,Hillside,9,0,0,0,449794
2926,4,2.092756077424495,Suburbs,28,2,1,1,567984
4695,5,4.394481517938754,Suburbs,51,3,0,1,704902
3715,3,4.737797556106373,Historic,78,2,0,0,582363
4017,3,3.2574519593239635,Downtown,60,1,1,0,581145
3240,1,3.7523289144335528,Waterfront,38,1,0,1,579055
2551,2,2.504178604390814,Waterfront,61,2,1,0,535654
1639,5,4.750265987948233,Downtown,97,2,1,0,478482
4430,3,3.4646796378573295,Historic,48,2,0,1,660682
4177,2,4.367904340221818,Suburbs,88,0,0,0,554559
905,3,2.2191892164786324,Downtown,77,2,0,0,302003
3804,3,4.208379341435015,Historic,30,2,1,1,656755
1154,3,2.751490810571396,Downtown,24,2,1,0,408025
3903,4,1.1189103480339604,Historic,77,0,1,0,585237
4269,2,1.0859823501109451,Downtown,20,2,0,0,582172
1350,4,3.1762913650221303,Waterfront,33,2,0,1,504744
2622,3,2.175346511453922,Hillside,23,0,0,1,470226
1319,5,1.8231076228068996,Suburbs,60,3,1,0,423928
3182,1,2.3985066234742125,Historic,29,2,0,0,498531
4695,1,3.990388457360482,Historic,65,1,0,0,607852
1139,3,2.1372112577906126,Hillside,93,2,0,0,295952
2469,3,4.6535398256936436,Downtown,82,2,1,0,501778
4887,4,4.448729507201251,Historic,94,2,1,1,719013
2063,3,3.3929181766970737,Hillside,2,1,0,0,454768
1355,5,4.875084199054083,Historic,45,3,0,1,471861
2852,3,2.9755956458284,Downtown,22,3,0,0,564298
2935,1,1.8728589587741786,Hillside,91,0,0,0,401808
3584,1,1.192300679035133,Downtown,71,2,0,0,489804
2117,5,4.220797921208934,Waterfront,32,0,0,0,561110
4813,1,4.6560738790950635,Waterfront,56,1,0,1,726398
2988,5,3.2890835816381916,Waterfront,60,3,0,1,659873
2003,2,1.7347251307805798,Waterfront,49,0,0,1,504328
4833,1,2.5664206508096448,Downtown,47,1,0,0,618258
4684,2,1.550908768490403,Waterfront,5,0,1,1,724014
2896,4,1.8285469248387858,Hillside,45,2,0,0,515130
904,3,1.710532771742678,Waterfront,34,1,1,1,440509
3307,4,3.026577764997292,Suburbs,81,2,0,0,519446
3131,4,1.0494591371460156,Hillside,86,3,0,0,472236
1422,3,4.601558452456016,Downtown,75,2,0,0,415066
3462,4,2.4861920756222755,Waterfront,3,2,0,0,641278
4331,5,2.260184655342991,Waterfront,84,0,0,0,653850
1244,3,3.4186560873148015,Waterfront,39,0,0,1,440386
3837,1,4.75791031873286,Hillside,41,3,1,1,596886
1389,3,2.82661148465793,Waterfront,94,3,0,1,473194
3945,5,1.5612230678900443,Hillside,86,2,0,0,598040
2560,2,1.3853694808571029,Downtown,5,1,0,0,455002
827,5,4.270696761495107,Historic,35,0,0,0,387515
4858,3,1.5219184707692535,Waterfront,74,3,1,0,702303
1497,4,3.314749618564381,Suburbs,53,3,1,0,428094
3303,2,2.564095137047223,Suburbs,25,0,0,0,498181
1562,5,4.676652382509638,Historic,52,2,0,0,485608
